Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,N,K,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,Ratio,RatioSD,Gen 0,Gen 1,Gen 2,Allocated,Code Size
NotAlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,447.907 ns,1.3769 ns,1.1498 ns,0.3189 ns,446.433 ns,447.074 ns,447.603 ns,448.137 ns,450.719 ns,"2,232,604.5",1.07,0.00,0.0000,0.0000,0.0000,0 B,587 B
AlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,462.937 ns,0.5800 ns,0.5142 ns,0.1374 ns,461.491 ns,462.776 ns,462.917 ns,463.258 ns,463.531 ns,"2,160,119.2",1.11,0.00,0.0000,0.0000,0.0000,0 B,342 B
SpansOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,786.468 ns,4.4442 ns,4.1571 ns,1.0734 ns,781.698 ns,783.273 ns,784.661 ns,787.998 ns,795.081 ns,"1,271,506.9",1.88,0.01,0.0000,0.0000,0.0000,0 B,533 B
ScalarOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,955.526 ns,4.3914 ns,4.1077 ns,1.0606 ns,948.349 ns,953.473 ns,954.969 ns,958.412 ns,962.007 ns,"1,046,544.5",2.28,0.01,0.0000,0.0000,0.0000,0 B,435 B
AlignedIn,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,576.927 ns,7.0565 ns,6.2554 ns,1.6718 ns,568.864 ns,572.777 ns,575.839 ns,579.455 ns,590.470 ns,"1,733,321.1",1.38,0.01,0.0000,0.0000,0.0000,0 B,374 B
NotAlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,416.523 ns,1.6987 ns,1.5890 ns,0.4103 ns,413.804 ns,415.315 ns,416.968 ns,417.493 ns,419.285 ns,"2,400,825.6",1.00,0.00,0.0000,0.0000,0.0000,0 B,469 B
AlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,415.402 ns,1.6840 ns,1.5752 ns,0.4067 ns,413.284 ns,414.184 ns,415.613 ns,416.484 ns,418.281 ns,"2,407,306.2",0.99,0.01,0.0000,0.0000,0.0000,0 B,225 B
SpansOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,358.805 ns,0.9051 ns,0.7558 ns,0.2096 ns,356.894 ns,358.687 ns,358.942 ns,359.370 ns,359.499 ns,"2,787,029.3",0.86,0.00,0.0000,0.0000,0.0000,0 B,284 B
ScalarOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,775.899 ns,5.3701 ns,4.4843 ns,1.2437 ns,767.848 ns,774.306 ns,775.949 ns,777.851 ns,784.787 ns,"1,288,827.4",1.85,0.01,0.0000,0.0000,0.0000,0 B,356 B
AlignedIn,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,258.127 ns,1.8765 ns,1.7553 ns,0.4532 ns,255.246 ns,256.601 ns,258.623 ns,259.107 ns,261.991 ns,"3,874,068.1",0.62,0.00,0.0000,0.0000,0.0000,0 B,197 B
NotAlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,418.233 ns,1.2721 ns,1.1899 ns,0.3072 ns,415.940 ns,417.201 ns,418.534 ns,419.148 ns,420.027 ns,"2,391,009.5",1.00,0.00,0.0000,0.0000,0.0000,0 B,457 B
AlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,415.020 ns,0.6226 ns,0.5199 ns,0.1442 ns,414.272 ns,414.724 ns,414.879 ns,415.004 ns,416.179 ns,"2,409,524.1",0.99,0.00,0.0000,0.0000,0.0000,0 B,220 B
SpansOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,236.673 ns,0.9152 ns,0.8561 ns,0.2210 ns,235.110 ns,236.162 ns,236.552 ns,237.189 ns,238.705 ns,"4,225,238.5",0.57,0.00,0.0000,0.0000,0.0000,0 B,277 B
ScalarOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,303.992 ns,0.9663 ns,0.9039 ns,0.2334 ns,302.942 ns,303.210 ns,303.924 ns,304.453 ns,305.883 ns,"3,289,564.7",0.73,0.00,0.0000,0.0000,0.0000,0 B,220 B
AlignedIn,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,1003,1.5,245.395 ns,0.9252 ns,0.8655 ns,0.2235 ns,243.908 ns,244.961 ns,245.257 ns,245.787 ns,246.952 ns,"4,075,070.9",0.59,0.00,0.0000,0.0000,0.0000,0 B,190 B
NotAlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"46,814.254 ns",102.2666 ns,90.6567 ns,24.2290 ns,"46,683.337 ns","46,763.867 ns","46,804.639 ns","46,840.010 ns","47,002.350 ns","21,361.0",1.13,0.00,0.0000,0.0000,0.0000,0 B,587 B
AlignedOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"48,866.382 ns",164.9799 ns,146.2503 ns,39.0870 ns,"48,701.434 ns","48,756.264 ns","48,842.313 ns","48,917.552 ns","49,169.183 ns","20,464.0",1.18,0.00,0.0000,0.0000,0.0000,0 B,342 B
SpansOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"79,937.754 ns",274.1565 ns,256.4461 ns,66.2141 ns,"79,575.281 ns","79,751.343 ns","79,811.072 ns","80,138.623 ns","80,384.644 ns","12,509.7",1.93,0.01,0.0000,0.0000,0.0000,0 B,533 B
ScalarOut,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"93,481.892 ns",286.2949 ns,253.7930 ns,67.8290 ns,"93,043.384 ns","93,340.451 ns","93,508.264 ns","93,672.437 ns","93,819.165 ns","10,697.3",2.26,0.01,0.0000,0.0000,0.0000,0 B,435 B
AlignedIn,.NET 4.6.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 4.6.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"60,202.358 ns",132.6015 ns,124.0355 ns,32.0258 ns,"60,011.877 ns","60,123.947 ns","60,178.912 ns","60,291.537 ns","60,469.604 ns","16,610.6",1.46,0.01,0.0000,0.0000,0.0000,0 B,374 B
NotAlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"41,242.659 ns",160.2555 ns,149.9031 ns,38.7048 ns,"40,994.122 ns","41,118.921 ns","41,258.813 ns","41,340.945 ns","41,496.240 ns","24,246.7",1.00,0.00,0.0000,0.0000,0.0000,0 B,469 B
AlignedOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"41,672.087 ns",337.7334 ns,315.9161 ns,81.5692 ns,"41,080.341 ns","41,460.474 ns","41,752.002 ns","41,818.561 ns","42,344.800 ns","23,996.9",1.01,0.01,0.0000,0.0000,0.0000,0 B,225 B
SpansOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"37,204.436 ns",490.4693 ns,458.7853 ns,118.4578 ns,"36,703.864 ns","36,777.490 ns","37,092.682 ns","37,618.109 ns","37,956.763 ns","26,878.5",0.90,0.01,0.0000,0.0000,0.0000,0 B,284 B
ScalarOut,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"79,539.708 ns",455.3849 ns,403.6868 ns,107.8898 ns,"78,591.882 ns","79,488.028 ns","79,633.453 ns","79,736.612 ns","80,073.535 ns","12,572.3",1.92,0.01,0.0000,0.0000,0.0000,0 B,356 B
AlignedIn,.NET Core 2.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 2.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"32,791.747 ns",471.0885 ns,440.6565 ns,113.7770 ns,"31,985.187 ns","32,580.240 ns","32,825.677 ns","33,031.183 ns","33,569.653 ns","30,495.5",0.79,0.01,0.0000,0.0000,0.0000,0 B,197 B
NotAlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"41,312.520 ns",136.5180 ns,127.6990 ns,32.9718 ns,"41,092.181 ns","41,223.239 ns","41,343.188 ns","41,380.389 ns","41,582.642 ns","24,205.7",1.00,0.00,0.0000,0.0000,0.0000,0 B,457 B
AlignedOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"41,444.654 ns",182.6666 ns,170.8664 ns,44.1175 ns,"41,206.262 ns","41,336.612 ns","41,418.524 ns","41,534.314 ns","41,776.868 ns","24,128.6",1.00,0.00,0.0000,0.0000,0.0000,0 B,220 B
SpansOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"37,081.308 ns",331.3706 ns,309.9642 ns,80.0324 ns,"36,448.975 ns","37,071.103 ns","37,208.527 ns","37,245.679 ns","37,459.412 ns","26,967.8",0.90,0.01,0.0000,0.0000,0.0000,0 B,277 B
ScalarOut,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"39,401.558 ns",576.9548 ns,539.6839 ns,139.3458 ns,"38,371.118 ns","39,160.773 ns","39,623.090 ns","39,721.985 ns","39,898.303 ns","25,379.7",0.95,0.01,0.0000,0.0000,0.0000,0 B,220 B
AlignedIn,.NET Core 3.1,False,Default,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET Core 3.1,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,100003,1.5,"35,371.251 ns",119.5396 ns,111.8174 ns,28.8711 ns,"35,153.394 ns","35,293.494 ns","35,385.364 ns","35,453.366 ns","35,557.697 ns","28,271.5",0.86,0.00,0.0000,0.0000,0.0000,1 B,190 B
